"id","mjd","mag","magerr","limiting_mag","filter","instrument_name","flux","fluxerr"
705470367,60817.25797449984,,,20.771499633789062,ztfg,ZTF,,17.840217569289706
706444574,60817.487532,16.816,0.026,19.26,atlasc,ATLAS,681.7105263058537,16.324843554333437
706444575,60817.490891,16.714,0.028,19.23,atlasc,ATLAS,748.8589075216439,19.312287200809617
706444576,60817.496158,16.804,0.026999999999999996,19.12,atlasc,ATLAS,689.2868607318447,17.141129823432333
706444577,60817.50622,16.756,0.027,18.99,atlasc,ATLAS,720.4436204152838,17.91593359967765
705470463,60818.22456019977,,,20.775999069213867,ztfg,ZTF,,17.766438312943286
705470464,60818.24577549985,,,20.731199264526367,ztfg,ZTF,,18.514854104272327
706444578,60818.331409,16.791,0.019,19.62,atlasc,ATLAS,697.5896043328037,12.207571622128896
706444579,60818.336,16.818,0.02,19.61,atlasc,ATLAS,680.4559249946362,12.534461354656994
706444580,60818.341973,16.76,0.018,19.63,atlasc,ATLAS,717.7942912713601,11.900033531407152
706444581,60818.35457,16.8,0.019,19.59,atlasc,ATLAS,691.8309709189356,12.106797571872491
706444582,60819.341088,16.501,0.016,19.56,atlaso,ATLAS,911.1712330429174,13.427515509565604
706444583,60819.343879,16.526,0.016,19.56,atlaso,ATLAS,890.4304435937413,13.121867940908956
706444584,60819.349372,16.523,0.016,19.54,atlaso,ATLAS,892.8941960649818,13.158175139072831
706444585,60819.361159,16.55,0.016,19.54,atlaso,ATLAS,870.9635899560797,12.834993784150067
705470413,60820.244930599816,,,20.202999114990234,ztfg,ZTF,,30.1162125792294
705470465,60820.24540509982,,,20.132699966430664,ztfg,ZTF,,32.13068714355418
705470501,60820.24586809985,17.131541066276828,0.013417871850440743,20.15421775596862,ztfg,ZTF,509.7809161936967,6.300034000257998
705470414,60820.24586809985,,,20.192399978637695,ztfg,ZTF,,30.41165174271997
705470502,60820.24634259986,17.056130462226477,0.011631064933941022,20.233967550532718,ztfg,ZTF,546.4467094555825,5.853868677090088
705470466,60820.24634259986,,,20.366600036621094,ztfg,ZTF,,25.90359166213424
706444586,60820.336266,16.532,0.016,19.56,atlaso,ATLAS,885.5233145028539,13.049553814226877
706444587,60820.339058,16.557,0.018,19.58,atlaso,ATLAS,865.3663429563486,14.346573417144443
706444588,60820.345049,16.543,0.016,19.58,atlaso,ATLAS,876.5970403212793,12.918011376681463
706444589,60820.366102,16.532,0.017,19.55,atlaso,ATLAS,885.5233145028539,13.865150927616058
705470368,60821.23518519988,,,20.53820037841797,ztfr,ZTF,,22.116675637299416
705470484,60821.26758099999,17.179182056609953,0.010789260694422735,20.438588628649498,ztfg,ZTF,487.8959098777402,4.848356479543016
705470369,60821.26758099999,,,20.559600830078125,ztfg,ZTF,,21.685012057674083
706444590,60821.345979,16.894,0.021,19.62,atlasc,ATLAS,634.453795775715,12.271424359711862
706444591,60821.349169,16.886,0.019,19.6,atlasc,ATLAS,639.1458891858142,11.18482725482637
